"HomeScore Units Export"
""
"Property=.all"
"Property","Status","Unit Number","Year"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""310""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""311""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""312""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""313""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""400""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""401""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""402""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""403""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""404""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""405""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""406""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""407""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""408""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""409""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""410""","2020"
"Balsam Hill Apartments and Townhomes","Occupied No Notice","""411""","2020"
"Barnabas Apartments","Occupied No Notice","""201""","2020"
"Barnabas Apartments","Occupied No Notice","""202""","2020"
"Barnabas Apartments","Occupied No Notice","""203""","2020"
"Barnabas Apartments","Occupied No Notice","""204""","2020"
"Barnabas Apartments","Occupied No Notice","""205""","2020"
"Barnabas Apartments","Occupied No Notice","""206""","2020"
"Barnabas Apartments","Occupied No Notice","""207""","2020"
"Barnabas Apartments","Occupied No Notice","""208""","2020"
"Barnabas Apartments","Occupied No Notice","""209""","2020"
"Barnabas Apartments","Occupied No Notice","""210""","2020"
"Barnabas Apartments","Vacant Unrented Ready","""211""","2020"
"Barnabas Apartments","Occupied No Notice","""212""","2020"
"Barnabas Apartments","Occupied No Notice","""213""","2020"
"Barnabas Apartments","Occupied No Notice","""301""","2020"
"Barnabas Apartments","Occupied No Notice","""302""","2020"
"Barnabas Apartments","Occupied No Notice","""303""","2020"
"Barnabas Apartments","Occupied No Notice","""304""","2020"
"Barnabas Apartments","Occupied No Notice","""305""","2020"
"Barnabas Apartments","Occupied No Notice","""306""","2020"
"Barnabas Apartments","Occupied No Notice","""307""","2020"
"Barnabas Apartments","Occupied No Notice","""308""","2020"
"Barnabas Apartments","Occupied No Notice","""309""","2020"
"Barnabas Apartments","Vacant Unrented Ready","""310""","2020"
"Barnabas Apartments","Vacant Rented Ready","""311""","2020"
"Barnabas Apartments","Vacant Rented Not Ready","""312""","2020"
"Barnabas Apartments","Occupied No Notice","""313""","2020"
"Barnabas Apartments","Occupied No Notice","""401""","2020"
"Barnabas Apartments","Occupied No Notice","""402""","2020"
"Barnabas Apartments","Occupied No Notice","""403""","2020"
"Barnabas Apartments","Occupied No Notice","""404""","2020"
"Barnabas Apartments","Occupied No Notice","""405""","2020"
"Barnabas Apartments","Occupied No Notice","""406""","2020"
"Barnabas Apartments","Occupied No Notice","""407""","2020"
"Barnabas Apartments","Occupied No Notice","""408""","2020"
"Barnabas Apartments","Occupied No Notice","""409""","2020"
"Barnabas Apartments","Occupied No Notice","""410""","2020"
"Barnabas Apartments","Occupied No Notice","""411""","2020"
"Barnabas Apartments","Occupied No Notice","""412""","2020"
"Barnabas Apartments","Occupied No Notice","""413""","2020"
"Barnabas Apartments","Occupied No Notice","""501""","2020"
"Barnabas Apartments","Vacant Unrented Ready","""502""","2020"
"Barnabas Apartments","Occupied No Notice","""503""","2020"
"Barnabas Apartments","Occupied No Notice","""504""","2020"
"Barnabas Apartments","Occupied No Notice","""505""","2020"
"Barnabas Apartments","Occupied No Notice","""506""","2020"
"Barnabas Apartments","Occupied No Notice","""507""","2020"
"Barnabas Apartments","Occupied No Notice","""508""","2020"
"Barnabas Apartments","Occupied No Notice","""509""","2020"
"Barnabas Apartments","Occupied No Notice","""510""","2020"
